,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
18230108-1225538,4152856521949315968,251759404,35,0.052772,35,36,,18 23 01.08,-12 25 53.83,6.4,8.7,44.5,1.0,K5.5,M7,Simbad,275.75449999999995,-12.431619444444443,275.754515,-12.43162,0.07,0.07,90,7.283,5.547,4.727,0.029,0.033,0.016,AAA,111,0,2451300.93
18230411-1354160,4152373630166531456,246485629,36,0.058254,36,37,,18 23 04.12,-13 54 16.05,1.4,1.8,54.2,0.5,M2,---,Simbad,275.76716666666664,-13.904458333333334,275.76715,-13.904458,0.06,0.06,90,7.781,5.669,4.703,0.029,0.026,0.02,AAA,111,0,2451300.9289
18231119-1357580,4152372049618465664,246261349,37,0.009316,37,38,,18 23 11.20,-13 57 58.05,1.7,1.5,49.3,0.3,M1,M7,Simbad,275.7966666666666,-13.966125,275.796664,-13.966125,0.06,0.06,90,7.943,5.684,4.685,0.032,0.031,0.023,AAA,111,0,2451300.9289
18240991-1101215,4154219607109280768,256721062,38,0.033272,38,39,,18 24 09.91,-11 01 21.55,-4.2,4.1,45.1,0.9,K5.5,M7,Simbad,276.0412916666666,-11.02265277777778,276.041301,-11.022654,0.06,0.06,90,7.011,5.365,4.65,0.034,0.026,0.021,AAA,111,0,2451295.881
18251120-1140567,4153295570684265344,254411607,39,0.036607,39,40,,18 25 11.21,-11 40 56.73,4.2,4.8,53.3,0.6,M2,---,Simbad,276.29670833333336,-11.682425,276.296698,-11.682426,0.1,0.08,0,7.061,5.365,4.576,0.021,0.023,0.017,AAA,111,0,2451729.7222
18254382-1153369,4153271484507387520,253663472,40,0.013138,40,41,,18 25 43.82,-11 53 36.90,1.7,3.0,46.1,2.4,M0,M7,Simbad,276.4325833333333,-11.893583333333332,276.432587,-11.893584,0.08,0.07,0,6.92,5.316,4.617,0.043,0.034,0.016,AAA,111,0,2451729.723
18261922-1406487,4104305318287835904,245728050,41,0.047757,41,42,,18 26 19.22,-14 06 48.76,-1.8,3.7,57.4,0.6,M3,---,Simbad,276.58008333333333,-14.113544444444443,276.580097,-14.113545,0.06,0.06,0,7.252,5.548,4.721,0.019,0.031,0.023,AAA,111,0,2451401.52
18262771-0935189,4156033938763212928,261687359,42,0.003639,42,43,,18 26 27.72,-09 35 18.97,-0.5,0.9,39.7,0.6,K4,M5.5,Simbad,276.61549999999994,-9.588602777777778,276.615499,-9.588603,0.07,0.06,0,6.196,4.915,4.352,0.019,0.016,0.053,AAA,111,0,2451729.7388
18273353-1149270,4153322160795986688,253917058,43,0.070477,43,44,,18 27 33.54,-11 49 27.02,-1.0,7.0,45.9,0.5,M0,M7,Simbad,276.88974999999994,-11.824172222222222,276.88973,-11.824172,0.06,0.06,90,7.007,5.38,4.653,0.02,0.029,0.017,AAA,111,0,2451729.7509
18291233-1219408,4152999252296348288,252122929,44,0.051737,44,45,,18 29 12.34,-12 19 40.85,-0.7,2.3,46.7,0.9,M0,M7,Simbad,277.3014166666666,-12.328013888888888,277.301402,-12.328015,0.07,0.06,90,7.588,5.702,4.85,0.02,0.027,0.016,AAA,111,0,2450936.8278
18301889-1020003,4155740575302469248,259113987,45,0.039252,45,46,,18 30 18.90,-10 20 00.36,3.8,4.4,47.0,1.2,M0,M7,Simbad,277.57875,-10.333433333333334,277.578739,-10.333432,0.06,0.06,90,7.089,5.43,4.66,0.023,0.044,0.02,AAA,111,0,2451297.87
18310460-1054260,4154885739365541376,257123029,46,0.064819,46,47,,18 31 04.61,-10 54 26.04,5.6,1.4,49.8,0.6,M1,M7,Simbad,277.7692083333333,-10.907233333333334,277.76919,-10.907233,0.06,0.06,90,7.927,5.88,4.937,0.018,0.024,0.02,AAA,111,0,2451829.5081
18315881-1119213,4154671884381353856,255672577,47,0.050602,47,48,,18 31 58.82,-11 19 21.37,6.5,1.5,46.4,0.8,M0,M7,Simbad,277.9950833333333,-11.322602777777778,277.995069,-11.322603,0.06,0.06,90,7.468,5.61,4.691,0.032,0.034,0.026,AAA,111,0,2451297.8955
