,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,2MASS,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
52,0.025085,52,53,,18 35 13.47,-07 44 58.14,6.7,4.1,40.7,1.1,K4.5,M6,Simbad,278.80612499999995,-7.749483333333333,18351346-0744581,278.806118,-7.749484,0.06,0.06,90,7.224,5.484,4.653,0.03,0.051,0.026,AAA,111,0,2451297.9272
53,0.019042,53,54,,18 35 29.03,-07 21 12.60,6.9,4.6,55.2,0.8,M2.5,---,Simbad,278.87095833333325,-7.3534999999999995,18352902-0721126,278.870953,-7.3535,0.06,0.06,90,9.926,6.967,5.552,0.025,0.023,0.023,AAA,211,0,2451363.6072
54,0.043975,54,55,,18 35 34.76,-07 56 48.52,3.3,1.8,47.0,1.5,M0,M7,Simbad,278.8948333333333,-7.946811111111112,18353475-0756485,278.894821,-7.946811,0.06,0.06,90,9.101,6.404,5.125,0.025,0.027,0.023,AAA,211,0,2451363.6068
55,0.034498,55,56,,18 35 49.12,-07 34 43.09,0.8,1.8,49.9,0.5,M1,M7,Simbad,278.95466666666664,-7.578636111111111,18354911-0734430,278.954657,-7.578636,0.06,0.06,90,8.564,6.009,4.801,0.021,0.021,0.02,AAA,111,0,2451363.607
56,0.034539,56,57,,18 35 51.52,-07 30 11.36,1.5,0.4,59.0,0.6,M3.5,---,Simbad,278.96466666666663,-7.503155555555556,18355151-0730113,278.964657,-7.503156,0.11,0.06,90,9.986,6.508,4.776,0.025,0.021,0.018,AAA,211,0,2451363.6098
57,0.009617,57,58,,18 37 46.52,-07 12 24.60,6.0,2.4,51.7,0.5,M1.5,---,Simbad,279.4438333333333,-7.206833333333334,18374651-0712245,279.443831,-7.206832,0.07,0.06,0,9.836,7.051,5.622,0.025,0.017,0.02,AAA,211,0,2451363.629
58,0.051573,58,59,,18 41 34.82,-04 48 58.00,1.4,3.1,51.3,0.4,M1.5,---,Simbad,280.3950833333333,-4.816111111111111,18413481-0448579,280.395069,-4.81611,0.06,0.06,90,8.019,5.981,5.042,0.021,0.046,0.023,AAA,111,0,2451312.8269
59,0.037174,59,60,,18 41 48.35,-04 48 52.91,1.7,3.1,52.2,0.6,M1.5,---,Simbad,280.4514583333333,-4.814697222222222,18414834-0448529,280.451448,-4.814698,0.06,0.06,90,8.285,6.187,5.133,0.03,0.053,0.027,AAA,111,0,2451312.8269
60,0.042014,60,61,,18 42 17.11,-04 41 16.98,1.1,1.0,52.7,0.8,M1.5,---,Simbad,280.57129166666664,-4.6880500000000005,18421710-0441169,280.57128,-4.688051,0.06,0.06,90,11.832,7.914,5.971,0.023,0.036,0.018,AAA,211,0,2451312.8344
61,0.065781,61,62,,18 42 42.31,-04 40 53.36,1.0,1.0,57.7,0.4,M3,---,Simbad,280.67629166666666,-4.6814888888888895,18424231-0440533,280.67631,-4.681489,0.06,0.06,90,7.581,5.65,4.748,0.026,0.034,0.02,AAA,111,0,2451312.8367
